Unnamed: 0,age,upgraded,gender,category,score1,score2,score3,pred_cluster
4422,39,1,1,2,4.54922402645,0.924258901523,-0.346209764031,2
4423,39,1,1,2,4.53648817147,0.937699911112,-0.354571531947,2
4686,40,1,1,1,4.12917502597,1.47421365916,-0.413646871135,2
4688,42,1,1,1,3.41728884522,2.13649508891,-0.338693468331,2
4689,38,1,1,1,4.73606494327,1.03072594761,-0.253890450952,2
4692,38,1,1,1,4.44655483232,1.39240067955,-0.17374011809,2
4693,38,1,1,1,4.71550413938,0.979528407279,-0.322325194195,2
4697,39,1,1,1,4.39550863974,1.37609249864,-0.230119610028,2
4698,39,1,1,1,4.38155087637,1.37609249864,-0.240318108314,2
4699,43,1,1,1,3.26281996291,2.1128279607,-0.975689441834,2
4740,40,1,1,2,3.74006419642,1.88629662305,-0.0631924941052,2
4741,40,1,1,2,3.74143118557,1.88629662305,-0.0626695072327,2
4742,40,1,1,2,3.7433465048,1.84346601155,-0.0826311004236,2
4743,40,1,1,2,3.71294408205,1.85027991804,-0.0939347666188,2
4744,40,1,1,2,3.69219884055,1.85374786656,-0.1059758983,2
4745,40,1,1,2,3.66294866907,1.86454513895,-0.115319107123,2
4746,41,1,1,2,3.64642301211,1.86353734787,-0.130142902333,2
4747,41,1,1,2,3.87485660084,1.56154934171,-0.258304494397,2
4748,41,1,1,2,3.83059749486,1.56079373761,-0.332681057631,2
4749,41,1,1,2,3.75258252352,1.5661127877,-0.505217581605,2
4750,41,1,1,2,3.81858243188,1.56079373761,-0.360085190798,2
4751,41,1,1,2,3.69510506263,1.64746560653,-0.428392754805,2
4752,42,1,1,2,3.53161732645,1.70859522797,-0.777656858138,2
4754,38,1,1,2,4.68231251702,0.890849839392,-0.272268251435,2
4755,40,1,1,2,3.70570275202,1.85374786656,-0.0971536740962,2
4756,40,1,1,2,3.66515883087,1.86454513895,-0.114123628711,2
4759,42,1,1,2,3.73086625034,1.5661127877,-0.568783392299,2
4760,42,1,1,2,3.48930650874,1.72278445472,-0.904073729289,2
4761,39,1,1,2,4.14256287644,1.54254996689,-0.0764333907681,2
4762,39,1,1,2,4.10122648974,1.54254996689,-0.086545849001,2
4763,39,1,1,2,3.89406369557,1.82743222917,-0.0431159956049,2
4764,43,1,1,2,3.36858784987,1.81981228367,-1.05096353566,2
4765,43,1,1,2,3.32128387364,1.8309321043,-1.34524971235,2
4766,43,1,1,2,3.36371483497,1.81981228367,-1.08838897627,2
4767,43,1,1,2,3.2798377344,1.81672846638,-2.1130024369,2
4920,41,0,1,2,3.69789167587,1.75436908001,-0.219218332575,2
4922,36,0,1,2,4.95033441697,0.795568380659,-0.242561746289,2
4924,38,0,1,2,4.26359822329,1.47640925056,-0.0575144446232,2
4925,37,0,1,2,4.84308580216,0.847883403209,-0.27648740983,2
4926,37,0,1,2,4.72868683229,0.899958077253,-0.174778382204,2
4928,38,0,1,2,4.22225808764,1.49110472547,-0.0640972307871,2
4929,38,0,1,2,4.2157620094,1.4769117287,-0.0714320853804,2
4930,38,0,1,2,4.17095420181,1.49606762626,-0.0807546656388,2
4931,39,0,1,2,4.15065305243,1.49606762626,-0.086703989329,2
4936,39,0,1,2,4.1862966171,1.33025297024,-0.19950069074,2
